Manzara sahane evet ama servis rezalet.	SERVICE#GENERAL AMBIENCE#GENERAL
Soguk su isteyince, soguk yok, butun sulari disari cikardik diyen garson, siparisten tam 2 saat sonra gelen yemekler, yemegin yaninda soylenen roka ve pureden eser olmamasi, istedigimiz 2 mezenin de kalmamis olmasi.	FOOD#STYLE_OPTIONS SERVICE#GENERAL
Yemekler iyi hos, lezzetler iyi ama heyecan verici bi taraflari yok, iyi bir baligi iyi bir sekilde izgara yapmak artik atla deve bi olay degil.	FOOD#QUALITY FOOD#QUALITY FOOD#QUALITY
bu servise bu fiyatlar ise cok faZla.	RESTAURANT#PRICES
Lacivert beni kalitesinin dusukluguyle cok sasirtti	RESTAURANT#GENERAL
Nerden baslasam bilemedim.	
Buraya bu kadar iyi yorum yapanlar her halde daha önce hiç balik yemediler.	FOOD#QUALITY
Kalamardan ve koladan önce balik geldi ve apar topar önümüze atildi.	SERVICE#GENERAL
ayrica gelen kalamar soguk ve sünger gibiydi.	FOOD#QUALITY
uzun lafin kisasi kesinlikle ve asla bir daha gitmem ve tavsiyede etmem.	RESTAURANT#GENERAL
Daha önce de söyledigim gibi büyüdükçe kalitesi düsen yerlerden	RESTAURANT#GENERAL
Kesinlikle ev yemegi degil - Bu kadar basarisiz ev yemekleri olmasina ragmen ögle saatlerinde ki yogunlugu çözebilmis degilim.	FOOD#QUALITY
Ya insanlar gerçekten ev yemeginin nasil oldugunu bilmiyorlar.	FOOD#QUALITY
Ya da herkes benim gibi 1 kere deniyor ve bir daha gitmiyor.	RESTAURANT#GENERAL
1 kere denedigim fiyatlarinin yüksek yemeklerinin lezzetsiz oldugu bir mekan önermiyorum.	RESTAURANT#PRICES FOOD#QUALITY
mekanın girişinde kasap reyonu ışıltılı,sıcak bir ortam yaratılmaya çalışılmış manzara olmadığı için bulunduğu konumda pek samimi bulmadım.	AMBIENCE#GENERAL
garsonumuz ilgisizdi biz söyledikce yaptı buda benim restauranttan beklentimi zayıflatıyor.	SERVICE#GENERAL
lokumun daha iyisini yedim küşleme güzeldi.	FOOD#QUALITY FOOD#QUALITY
şazeli salata yani...	
bilemedim mekana daha sonra belki bir şans daha verebilirim.	RESTAURANT#GENERAL
2 sene önce hızlı bir kahvaltı yapmak için geldiğimiz mekana dair hatırımda kalan 6 tl lik çayı oldu:	DRINKS#PRICES
) menüde dikkat etmemiştik ama hesap gelince ufak bir şok yaşamıştık😩 güzel olabilir ama kahvaltıdan fazla ödediğimiz çay yüzünden bir daha uğramadık.	DRINKS#PRICES RESTAURANT#GENERAL
Şatobiryanı öneririm.	FOOD#QUALITY
Sosu tereyagli ve yumusak .	FOOD#QUALITY
Sert et sevmeyenler icin cok lezzetliydi.	FOOD#QUALITY
Guvecte yogurt ve salatayla iyi bir uclu oldu.	FOOD#QUALITY
Servisi hizli valesi var.	SERVICE#GENERAL
Acik mekanda ise gardenya bolumu guzel.	AMBIENCE#GENERAL
Kalabalik icin ideal.	RESTAURANT#GENERAL
Yaninda cafe ve nargile bolumu var.	
Cok fazla cesit var,insanin kafasi karışıyor dogrusu.	
Bugun çalışan arkadasin yonlendirmesiyle siyah caylardan bourbon vanilla ictik.	FOOD#QUALITY
Vanilya tadi gerçekten baya hissediliyodu ama ben beyaz caylarini daha cok begenmistim.	DRINKS#QUALITY
Ortam güzel,özellikle rahat oturma köşeleri👌 Esas kahve sever biri oldugum icin cok tercih ettigim mekan değil ama yine de arada degisiklik icin guzel olabilir.	AMBIENCE#GENERAL AMBIENCE#GENERAL
Yoğun olduğu günlerde(cumartes-pazar) gitmenizi tavsiye etmem.	RESTAURANT#GENERAL
Lezzet değişiyor...	
Şubelerden en iyisi Pendik merkez ana şubesi iyidir.	RESTAURANT#GENERAL
Bugüne kadar dışarıda yediğim en lezzetli kurufasülyeci.	FOOD#QUALITY
Bir arkadaşımın tavsiyesi ile Ortaköy şubesine gittim.	
Fasulyesi ağızda dağılıyor adeta, lokum gibi.	FOOD#QUALITY
